"features_geometry_coordinates_0","features_geometry_coordinates_1","features_geometry_type","features_properties_city","features_properties_date","features_properties_description","features_properties_source","features_properties_source_href_0","features_properties_source_href_1","features_properties_source_href_2","features_properties_source_href_3","features_properties_state","features_properties_title","features_type"
"13.7890603544","51.11374401","Point","Dresden-Klotzsche","15.10.2015","In Dresden-Klotzsche versammelten sich am Abend mehrere hundert ""Nein zum Heim""-Anhänger, um gegen die Unterbringung von Asylsuchenden in Containern auf dem Flughafenparkplatz zu protstieren - eine Variante, für die sich die Stadt entschieden hatte, nachdem die Klotzscher mit ihrem Protest eine Unterbringung im Ortszentrum verhindert hatten. Die AfD bewirbt die Demo und tritt selbst mit Redebeiträgen auf.","eigene Recherche, Mopo24","https://mopo24.de/nachrichten/dresden-klotzsche-geplantes-asylheim-protest-formiert-sich-18085","","","","Sachsen","Kundgebung/Demo","Feature"
"11.6403057494","52.1307411935","Point","Magdeburg","14.10.2015","Die AfD veranstaltete am Abend eine ""Demo gegen Politikversagen"" unter dem Motto ""Asyl-Chaos beenden!"", an der sich laut Polizei rund 2000 Menschen beteiligten. Als Redner traten André Poggenburg, Landesvorsitzender und Spitzenkandidat der AfD Sachsen-Anhalt, sowie Björn Höcke, Landes- und Fraktionsvorsitzender AfD Thüringen, auf.","Mitteldeutsche Zeitung","http://www.mz-web.de/mitteldeutschland/demonstrationen-in-magdeburg-rund-2-000-menschen-protestieren-gegen-asylpolitik,20641266,32163092.html","","","","Sachsen-Anhalt","Kundgebung/Demo","Feature"
"10.0663754336","50.9672435327","Point","Gerstungen","14.10.2015","Die NPD veranstaltete in Gerstungen im Rahmen der ""Protestwoche gegen die Asylflut"" eine Demonstration mit rund 150 Teilnehmenden. Als Redner trat unter anderem der Landesvorsitzende der Partei, Tobias Kammler, auf.","eigene Recherche, Angaben des Veranstalters auf Facebook","","","","","Thüringen","Kundgebung/Demo","Feature"
"12.9669742165","50.7716006071","Point","Einsiedel","14.10.2015","In Einsiedel gab es am Mittwochabend erneut Protest gegen eine geplante Asylunterkunft. Laut Polizei nahmen über 1000 Personen an dem gegen die Unterkunft gerichteten ""Schweigemarsch"" teil, einige trugen Kerzen. Unter den Protestierenden waren zahlreiche Familien mit Kindern, aber auch Personen, die auf ihrer Kleidung Erkennungszeichen rechter Gruppierungen trugen, zum Beispiel der rechtsradikalen Splitterpartei ""Der Dritte Weg"". Ein Redner sagte, die Demonstrierenden richteten sich ""nicht gegen Schutzbedürftige, sondern für eine Politik mit Weitsicht und für das eigene Volk"".","Freie Presse","http://www.freiepresse.de/LOKALES/CHEMNITZ/Einsiedel-Protest-gegen-Fluechtlingsheim-haelt-an-artikel9329391.php","","","","Sachsen","Kundgebung/Demo","Feature"
"10.1148632437","50.8237927475","Point","Merkers","14.10.2015","An einer NPD-Demonstration im Rahmen der ""Aktionswoche gegen die Asylflut"" nahmen in Merkers etwa 70 Personen teil.","Thüringische Landeszeitung","http://www.tlz.de/web/zgt/politik/detail/-/specific/Thema-Zuwanderung-spaltet-die-Menschen-in-Gerstungen-1302572799","","","","Thüringen","Kundgebung/Demo","Feature"
"7.40078124984","51.6242496627","Point","Waltrop","13.10.2015","In der Nacht zu Dienstag schmierten Unbekannte an vier Asylunterkünften in Waltrop Hakenkreuze, SS-Runen und die Parole ""Raus"".","WDR","http://www1.wdr.de/themen/politik/fluechtlinge/logbuch-fluchtort-nrw-122.html","","","","Nordrhein-Westfalen","Sonstige Angriffe auf Unterkünfte","Feature"
"7.40072990523","51.6236497516","Point","Waltrop","13.10.2015","In der Nacht zu Dienstag schmierten Unbekannte an vier Asylunterkünften in Waltrop Hakenkreuze, SS-Runen und die Parole ""Raus"".","WDR","http://www1.wdr.de/themen/politik/fluechtlinge/logbuch-fluchtort-nrw-122.html","","","","Nordrhein-Westfalen","Sonstige Angriffe auf Unterkünfte","Feature"
"10.3153219428","50.7994391314","Point","Barchfeld","13.10.2015","Im Rahmen ihrer ""Aktionswoche gegen die Asylflut"" hat die NPD Thüringen auch in Barchfeld eine Demonstration veranstaltet, an der sich mehrere Dutzend Menschen beteiligten.","eigene Recherche","https://www.mut-gegen-rechte-gewalt.de/service/chronik-vorfaelle","","","","Thüringen","Kundgebung/Demo","Feature"
"9.21210139055","48.4917716389","Point","Reutlingen","13.10.2015","Ralph Schönenborn, Bürgermeister des Reutlinger Stadtteils Oferdingen, tritt zurück. Als Grund nennt Schönenborn Bedrohungen gegen sich und seine Familie. Außerdem sei angekündigt worden, die geplante Sammelunterkunft für 70 Asylsuchende anzuzünden.","Zeit online","http://www.zeit.de/gesellschaft/zeitgeschehen/2015-10/fluechtlinge-rechtsextremismus-ausschreitungen/seite-2","","","","Baden-Württemberg","Sonstige Angriffe auf Unterkünfte","Feature"
"7.40093324573","51.6233740674","Point","Waltrop","13.10.2015","In der Nacht zu Dienstag schmierten Unbekannte an vier Asylunterkünften in Waltrop Hakenkreuze, SS-Runen und die Parole ""Raus"".","WDR","http://www1.wdr.de/themen/politik/fluechtlinge/logbuch-fluchtort-nrw-122.html","","","","Nordrhein-Westfalen","Sonstige Angriffe auf Unterkünfte","Feature"
"6.72949383233","49.4289390808","Point","Honzrath","13.10.2015","Unbekannte haben in der Nacht zu Dienstag mehrere Böller vor einer Asylunterkunft gezündet.","Saarbrücker Zeitung","http://www.saarbruecker-zeitung.de/saarland/merzig-wadern/beckingen/beckingen/Beckingen-Strafrecht;art446534,5927543","","","","Saarland","Sonstige Angriffe auf Unterkünfte","Feature"
"12.7552797912","50.5652341346","Point","Lauter-Bernsbach","13.10.2015","Unbekannte haben einen Brandanschlag auf das Gebäude des ehamaligen Diska-Martes verübt, das als Asylunterkunft vorgesehen war. Das Feuer erlosch jedoch von selbst.","ZEIT online","https://docs.google.com/spreadsheets/d/1yxi3oV96kxag_3GiVnGvndgJ5zTI-lHsaAB-p7U-g3w/htmlview?sle=true#gid=1734573181&vpid=A2%20target=_blank","","","","Sachsen","Brandanschlag","Feature"
"7.40040114671","51.6228560656","Point","Waltrop","13.10.2015","In der Nacht zu Dienstag schmierten Unbekannte an vier Asylunterkünften in Waltrop Hakenkreuze, SS-Runen und die Parole ""Raus"".","WDR","http://www1.wdr.de/themen/politik/fluechtlinge/logbuch-fluchtort-nrw-122.html","","","","Nordrhein-Westfalen","Sonstige Angriffe auf Unterkünfte","Feature"
"11.9707902734","51.4832761962","Point","Halle (Saale)","13.10.2015","Unbekannte haben einen Brandanschlag auf das Kulturzentrum ""Goldene Rose"" verübt. In der ehemaligen Gaststätte findet seit zwei Wochen ein Treffen von Asylsuchenden und ihren Unterstützern statt.","Mitteldeutsche Zeitung","http://www.mz-web.de/halle-saalekreis/brand-in-der--goldenen-rose--in-halle-staatsschutz-ermittelt-nach-brand-im-fluechtlingstreff,20640778,32145894.html","","","","Sachsen-Anhalt","Brandanschlag","Feature"
"7.74165946063","51.7964921298","Point","Drensteinfurt","13.10.2015","Unbekannte haben im Ortsteil Walstedde mehrere Gebäude mit grüner Farbe besprüht, etwa mit der Parole ""Nieder mit dem System"". Außerdem wurde die örtliche Asylunterkunft von außen mit Toilettenpapier verunreinigt. Bürgermeister Carsten Grawunder sieht die Straftaten ""eher in Richtung linkspolitischem Hintergrund"".","wa.de","http://www.wa.de/lokales/drensteinfurt/vandalismus-walstedde-graffiti-mehreren-hauswaenden-5641732.html","","","","Nordrhein-Westfalen","Sonstige Angriffe auf Unterkünfte","Feature"
"11.3285166427","50.979943287","Point","Weimar","12.10.2015","In Weimar demonstrierte der besonders radikale GIDA-Ableger THÜGIDA (ehemals SÜGIDA) am Montagabend mit etwa 150 Personen. Anmelder der Demonstration waren ","MDR","http://www.mdr.de/nachrichten/weimar-demo100_zc-e9a9d57e_zs-6c4417e7.html","","","","Thüringen","Kundgebung/Demo","Feature"
"12.389410585","50.8145662247","Point","Crimmitschau","11.10.2015","Unbekannte haben ein Büro der städtischen Wohnungsbaugesellschaft CWG angegriffen. An den Schaufensterscheiben finden sich Einschussspuren, die womöglich von Stahlkugeln verursacht wurden, die mit Katapulten abgefeuert wurden. An die Wände haben die Täter ""Volksverräter"" und ""Wir kriegen Euch alle"" geschmiert. Die CWG hat in einigen ihrer Wohnungen auch Asylsuchende untergebracht. ","Ostthüringer Zeitung","http://www.otz.de/startseite/detail/-/specific/Crimmitschau-Anschlag-auf-Wohnungsgesellschaft-1870112381","","","","Sachsen","Sonstige Angriffe auf Unterkünfte","Feature"
"13.8704413536","54.0934509828","Point","Trassenheide","11.10.2015","In Trassenheide auf Usedom haben Unbekannte am Sonntagmorgen zwei Molotov-Cocktails auf eine geplante Asylunterkunft geworfen. Das Gebäude stand seit zehn Jahren leer. Nach Worten von Trassenheides Bürgermeister Horst Freese sollte das Bürogebäude eines leerstehenden Betriebsgeländes für 15 Asylsuchende hergerichtet werden.","Ostsee-Zeitung","http://www.ostsee-zeitung.de/Mecklenburg/Suedwestmecklenburg/Politik/Braende-in-Fluechtlingsheimen-Anklage-wegen-versuchten-Mordes","","","","Mecklenburg-Vorpommern","Brandanschlag","Feature"
"10.688043341","53.3912042334","Point","Boizenburg","11.10.2015","Am Sonntag brannte eine geplante Asylunterkunft in Boizenburg. Am Montag teilte die Staatsanwaltschaft mit, dass das Feuer gelegt wurde.","taz, NDR","http://taz.de/!5240875/","https://twitter.com/NDRreporter/status/653562306077532160","","","Mecklenburg-Vorpommern","Brandanschlag","Feature"
